States /UTs /Boards ,Average Score ,Standard Error 
Haryana ,239,0.9
Himachal Pradesh ,242,2.0
Jammu and Kashmir ,252,1.8
Jharkhand ,238,0.5
Karnataka ,269,0.4
Kerala ,263,0.8
Lakshadweep ,228,9.5
Madhya Pradesh ,229,0.4
Maharashtra ,254,0.3
Manipur ,267,1.9
Meghalaya ,261,1.3
Mizoram ,277,3.6
Nagaland ,306,0.6
Odisha ,254,0.2
Puducherry ,255,5.0
Punjab ,252,0.6
Rajasthan ,253,0.7
Sikkim ,273,2.1
Tamil Nadu ,249,0.3
Telangana ,264,0.6
Tripura ,235,1.8
Uttarakhand ,242,0.6
CBSE ,318,1.0
ICSE ,351,1.9
National ,253,0.1
