States /UTs /Boards ,Average Score ,Standard Error 
Dadra and Nagar Haveli ,227,3.8
Daman and Diu ,243,11.4
Delhi ,267,1.5
Goa ,258,1.7
Gujarat ,246,1.8
Haryana ,241,0.7
Himachal Pradesh ,243,2.6
Jammu and Kashmir ,241,1.4
Jharkhand ,238,1.4
Karnataka ,261,0.8
Kerala ,251,1.4
Lakshadweep ,238,8.8
Madhya Pradesh ,238,0.4
Maharashtra ,250,0.6
Manipur ,263,3.2
Meghalaya ,237,2.7
Mizoram ,238,2.8
Nagaland ,246,3.3
Odisha ,256,0.6
Puducherry ,246,1.5
Punjab ,254,1.2
Rajasthan ,264,0.9
Sikkim ,252,3.1
Tamil Nadu ,246,1.3
Telanganal ,260,1.0
Tripura ,239,1.2
Uttarakhand ,244,1.0
CBSE ,306,4.3
ICSE ,308,2.4
National ,253,0.2
